video_id	video_title	date	segment_number	segment_timestamp	segment_url	segment_topic	reference	article_link	segment_name
MKUoYNj7GGg	Czytamy naturę #41 | Mózg w ultraHD - O drganiach kabli - Karzeł zjadł planetę	2019-12-09T10:45:57Z	2)	11:32	https://www.youtube.com/watch?v=MKUoYNj7GGg&t=692s	Jakie informacje o drganiach ziemi i oceanów można uzyskać, wykorzystując już istniejące kable podmorskie?	Lindsey, N. J., Dawe, T. C., & Ajo-Franklin, J. B. (2019). Illuminating seafloor faults and ocean dynamics with dark fiber distributed acoustic sensing. Science, 366(6469), 1103-1107	https://doi.org/10.1126/science.aay5881	O drganiach kabli
MKUoYNj7GGg	Czytamy naturę #41 | Mózg w ultraHD - O drganiach kabli - Karzeł zjadł planetę	2019-12-09T10:45:57Z	3)	21:29	https://www.youtube.com/watch?v=MKUoYNj7GGg&t=1289s	Jaką metodą biały karzeł pożera planetę lodową typu Neptuna?	Gänsicke, B.T., Schreiber, M.R., Toloza, O. et al. Accretion of a giant planet onto a white dwarf star. Nature 576, 61–64 (2019)	https://doi.org/10.1038/s41586-019-1789-8	Karzeł zjadł planetę
R5PVM6JptXo	Czytamy naturę #40 | Cały świat śpiewa - Dotyk przez internet - Małpa na spacerze	2019-12-02T09:00:04Z	1)	00:56	https://www.youtube.com/watch?v=R5PVM6JptXo&t=56s	Czy jest coś uniwersalnego w śpiewie, coś, co łączy wszystkie kultury świata aby się o tym przekonać, przyjrzymy się gigantycznemu badaniu etnograficznemu obejmującemu: piosenki do tańca, pieśni lecznicze (szamańskie), kołysanki i piosenki miłosne.	Mehr, S. A., Singh, M., Knox, D., Ketter, D. M., Pickens-Jones, D., Atwood, S., ... & Howard, R. M. (2019). Universality and diversity in human song. Science, 366(6468)	https://doi.org/10.1126/science.aax0868	Cały świat śpiewa
R5PVM6JptXo	Czytamy naturę #40 | Cały świat śpiewa - Dotyk przez internet - Małpa na spacerze	2019-12-02T09:00:04Z	2)	12:11	https://www.youtube.com/watch?v=R5PVM6JptXo&t=731s	"Jak przekazać dotyk na odległość: jakie są przy tym trudności technologiczne i inżynieryjne i kiedy będzie można w końcu kupić ""matę dotykową"", aby do obrazu i dźwięku w końcu dołączył trzeci zmysł."	Yu, X., Xie, Z., Yu, Y., Lee, J., Vazquez-Guardado, A., Luan, H., ... & Ji, B. (2019). Skin-integrated wireless haptic interfaces for virtual and augmented reality. Nature, 575(7783), 473-479	https://doi.org/10.1038/s41586-019-1687-0	Dotyk przez internet
R5PVM6JptXo	Czytamy naturę #40 | Cały świat śpiewa - Dotyk przez internet - Małpa na spacerze	2019-12-02T09:00:04Z	3)	17:17	https://www.youtube.com/watch?v=R5PVM6JptXo&t=1037s	Jak chodzili nasi przodkowie 10-15 milionów lat temu i jak to się ma do jednego z największych wydarzeń w naszej historii ewolucyjnej: uwolnienia się od czworonożności i wejścia w świat dumnego chodu wyprostowanego.	Böhme, M., Spassov, N., Fuss, J., Tröscher, A., Deane, A. S., Prieto, J., ... & Begun, D. R. (2019). A new Miocene ape and locomotion in the ancestor of great apes and humans. Nature 575, 445-446 (2019)	https://doi.org/10.1038/d41586-019-03347-0	Małpa na spacerze
lSWkNOk4GsA	Czytamy naturę #39 | Labirynty na Tytanie - Lepiej niż hologram - Mrówki i korki	2019-11-25T08:20:46Z	1)	01:07	https://www.youtube.com/watch?v=lSWkNOk4GsA&t=67s	"Najnowszej globalnej mapie Tytana, satelity Saturna i jednego z najciekawszych obiektów w całym Układzie Słonecznym. Co na niej? Morza, jeziora i rzeki, wzgórza i doliny, wydmy i kratery, a także tajemnicze ""tereny labiryntowe""."	Lopes, R. M. C., Malaska, M. J., Schoenfeld, A. M., Solomonidou, A., Birch, S. P. D., Florence, M., ... & Turtle, E. P. (2019). A global geomorphologic map of Saturn’s moon Titan. Nature Astronomy, 19.11.2019	https://doi.org/10.1038/s41550-019-0917-6	Labirynty na Tytanie
lSWkNOk4GsA	Czytamy naturę #39 | Labirynty na Tytanie - Lepiej niż hologram - Mrówki i korki	2019-11-25T08:20:46Z	2)	12:06	https://www.youtube.com/watch?v=lSWkNOk4GsA&t=726s	Genialnej w swojej prostocie metodzie wyświetlania obrazu trójwymiarowego, opierającej się na jednej, maleńkiej kuleczce, za to poruszającej się bardzo, ale to bardzo szybko.	Hirayama, R., Plasencia, D. M., Masuda, N., & Subramanian, S. (2019). A volumetric display for visual, tactile and audio presentation using acoustic trapping. Nature, 575(7782), 320-323	https://doi.org/10.1038/s41586-019-1739-5	Lepiej niż hologram
lSWkNOk4GsA	Czytamy naturę #39 | Labirynty na Tytanie - Lepiej niż hologram - Mrówki i korki	2019-11-25T08:20:46Z	3)	17:31	https://www.youtube.com/watch?v=lSWkNOk4GsA&t=1051s	Metodzie, jaką stosują argentyńskie mrówki, aby nawet przy potężnym zatłoczeniu na trasie między mrowiskiem a źródłem pokarmu nie pojawiały się korki.	Poissonnier, L. A., Motsch, S., Gautrais, J., Buhl, J., & Dussutour, A. (2019). Experimental investigation of ant traffic under crowded conditions. eLife, 8	https://doi.org/10.7554/eLife.48945	Mrówki i korki
i7syX_12ou8	Czytamy naturę #38 | O kropelce whisky - Taśma klejąca do tkanek - Anatomia porażki	2019-11-18T10:11:31Z	1)	01:09	https://www.youtube.com/watch?v=i7syX_12ou8&t=69s	Co można dostrzec w pojedynczej kropelce whisky? (Mnóstwo, zwłaszcza, gdy wyparuje.)	Yin, Y., Wang, Y., Evans, J. A., & Wang, D. (2019). Quantifying dynamics of failure across science, startups, and security. Nature 575, 190-194	https://doi.org/10.1038/s41586-019-1725-y	O kropelce whisky
i7syX_12ou8	Czytamy naturę #38 | O kropelce whisky - Taśma klejąca do tkanek - Anatomia porażki	2019-11-18T10:11:31Z	2)	07:21	https://www.youtube.com/watch?v=i7syX_12ou8&t=441s	Na czym polegają wyzwania związane ze stworzeniem kleju do wilgotnej, żywej tkanki i jak je pokonać?	Yuk, H., Varela, C. E., Nabzdyk, C. S., Mao, X., Padera, R. F., Roche, E. T., & Zhao, X. (2019). Dry double-sided tape for adhesion of wet tissues and devices. Nature 575, 169–174	https://doi.org/10.1038/s41586-019-1710-5	Taśma klejąca do tkanek
i7syX_12ou8	Czytamy naturę #38 | O kropelce whisky - Taśma klejąca do tkanek - Anatomia porażki	2019-11-18T10:11:31Z	3)	15:19	https://www.youtube.com/watch?v=i7syX_12ou8&t=919s	Po czym poznać, kto ostatecznie odniesie sukces, a kto porażkę, wyłącznie na podstawie tego, jak podchodzą do kolejnych nieudanych prób osiągnięcia tego samego celu?	Williams, S. J., Brown, M. J., & Carrithers, A. D. (2019). Whiskey webs: Microscale “fingerprints” of bourbon whiskey. Physical Review Fluids, 4(10), 100511	https://doi.org/10.1103/APS.DFD.2018.GFM.P0002	Anatomia porażki
3amI90jCKOA	Czytamy naturę #35 | Lodówka skręceniowa - Prehistoryczne mleko - Drony z pazurami	2019-10-28T10:29:30Z	1)	01:00	https://www.youtube.com/watch?v=3amI90jCKOA&t=60s	Jak to możliwe, że samo rozciąganie i skracanie gumki powoduje jej ogrzewanie się i schładzanie - oraz jak wykorzystać ten efekt do zbudowania lodówki?	Wang, R., ... (2019). Torsional refrigeration by twisted, coiled, and supercoiled fibers. Science 366, 6462, 216-221	https://doi.org/10.1126/science.aax6182	Lodówka skręceniowa
3amI90jCKOA	Czytamy naturę #35 | Lodówka skręceniowa - Prehistoryczne mleko - Drony z pazurami	2019-10-28T10:29:30Z	2)	08:23	https://www.youtube.com/watch?v=3amI90jCKOA&t=503s	Jakie są najstarsze dowody archeologiczne na podkarmianie niemowlaków mlekiem z butelki oraz jak sprawdzić, z jakiego zwierzęcia pochodziło to mleko?	Dunne, J., Rebay-Salisbury, K., Salisbury, R. B., Frisch, A., Walton-Doyle, C., & Evershed, R. P. (2019). Milk of ruminants in ceramic baby bottles from prehistoric child graves. Nature, 574, 246–248 (2019)	https://doi.org/10.1038/s41586-019-1572-x	Prehistoryczne mleko
3amI90jCKOA	Czytamy naturę #35 | Lodówka skręceniowa - Prehistoryczne mleko - Drony z pazurami	2019-10-28T10:29:30Z	3)	14:35	https://www.youtube.com/watch?v=3amI90jCKOA&t=875s	Jaka jest technika lądowania ptaków na gałęzi - jakim cudem potrafią w skali mikrosekund reagować na kształt i fakturę gałęzi oraz jak można wykorzystać tę wiedzę przy konstruowaniu dronów?	Roderick, W. R., Chin, D. D., Cutkosky, M. R., & Lentink, D. (2019). Birds land reliably on complex surfaces by adapting their foot-surface interactions upon contact. eLife, 8:e46415	https://doi.org/10.7554/eLife.46415	Drony z pazurami
clUZcnvJjNs	Czytamy naturę #34 | Zderzenia gwiazd - Jak skrócić prysznic - Wulkany i artyści	2019-10-21T08:06:28Z	1)	01:09	https://www.youtube.com/watch?v=clUZcnvJjNs&t=69s	Co się dzieje, gdy zderzą się dwie masywne gwiazdy? Dla astrofizyków istotne jest zwłaszcza to, skąd bierze się powstające wtedy gigantyczne pole magnetyczne. Dla nas - również to, że powstają przepiękne symulacje komputerowe.	Schneider, F. R., Ohlmann, S. T., Podsiadlowski, P., Röpke, F. K., Balbus, S. A., Pakmor, R., & Springel, V. (2019). Stellar mergers as the origin of magnetic massive stars. Nature, 574(7777), 211-214	https://doi.org/10.1038/s41586-019-1621-5	Zderzenia gwiazd
clUZcnvJjNs	Czytamy naturę #34 | Zderzenia gwiazd - Jak skrócić prysznic - Wulkany i artyści	2019-10-21T08:06:28Z	2)	09:15	https://www.youtube.com/watch?v=clUZcnvJjNs&t=555s	Jak skłonić gości hotelowych, żeby z własnej woli brali krótszy prysznic? Naukowcy zalecają, jak się okazuje, dość mało subtelną formę manipulacji psychologicznej.	Tiefenbeck, V., A. Wörner, S. Schöb, E. Fleisch & T. Staake. (2019). Real-time feedback reduces energy consumption among the broader public without financial incentives. Nature Energy 4, 831–832	https://doi.org/10.1038/s41560-018-0282-1	Jak skrócić prysznic
clUZcnvJjNs	Czytamy naturę #34 | Zderzenia gwiazd - Jak skrócić prysznic - Wulkany i artyści	2019-10-21T08:06:28Z	3)	14:27	https://www.youtube.com/watch?v=clUZcnvJjNs&t=867s	Jakie są związki między wybuchami wulkanów a kolorem zachodzącego nieba na płótnach wybitnych malarzy? Bezpośrednie, co pozwala nam wnioskować równocześnie o historii sztuki i historii klimatu ziemskiego.	Zerefos, C. S., Gerogiannis, V. T., Balis, D., Zerefos, S. C., & Kazantzidis, A. (2007). Atmospheric effects of volcanic eruptions as seen by famous artists and depicted in their paintings. Atmospheric Chemistry and Physics, 7(15), 4027-4042	https://doi.org/10.5194/acp-7-4027-2007	Wulkany i artyści
uZrNIvzR360	Czytamy naturę #33 | Skutki wojny nuklearnej - Najstarsza gwiazda - Świnia z narzędziami	2019-10-14T09:24:10Z	1)	00:55	https://www.youtube.com/watch?v=uZrNIvzR360&t=55s	Jakie są skutki wojny nuklearnej, a właściwie bardzo konkretnego scenariusza: konfliktu między Indiami i Pakistanem. Szczególnie dokładnie omówione są globalne skutki dla klimatu jak się okazuje, całkiem spore.	Toon, O. B., Bardeen, C. G., Robock, A., Xia, L., Kristensen, H., McKinzie, M., ... & Turco, R. P. (2019). Rapidly expanding nuclear arsenals in Pakistan and India portend regional and global catastrophe. Science Advances, 5(10), eaay5478	https://doi.org/10.1126/sciadv.aay5478	Skutki wojny nuklearnej
uZrNIvzR360	Czytamy naturę #33 | Skutki wojny nuklearnej - Najstarsza gwiazda - Świnia z narzędziami	2019-10-14T09:24:10Z	2)	09:35	https://www.youtube.com/watch?v=uZrNIvzR360&t=575s	Jak znaleźć najstarszą gwiazdę we Wszechświecie i co nam to mówi o ewolucji Kosmosu. W praktyce sprawa sprowadza się do przeczesywania nieba w poszukiwaniu gwiazdy z jak najmniejszą zawartością żelaza - wyjaśniam więc przy okazji, o co chodzi z tym żelazem.	Nordlander, T., Bessell, M. S., Da Costa, G. S., Mackey, A. D., Asplund, M., Casey, A. R., ... & Marino, A. F. (2019). The lowest detected stellar Fe abundance: The halo star SMSS J160540. 18-144323.1. MNRAS 488, L109–L113 (2019)	https://doi.org/10.1093/mnrasl/slz109	Najstarsza gwiazda
uZrNIvzR360	Czytamy naturę #33 | Skutki wojny nuklearnej - Najstarsza gwiazda - Świnia z narzędziami	2019-10-14T09:24:10Z	3)	16:25	https://www.youtube.com/watch?v=uZrNIvzR360&t=985s	"Jak zdefiniować ""używanie narzędzi"" w odniesieniu do zwierząt i czy pewna maciora z Paryża właśnie stałą się pierwszą świnią w historii nauki, którą przyłapano na wykorzystywaniu narzędzi?"	Root-Bernstein, M., Narayan, T., Cornier, L., & Bourgeois, A. (2019). Context-specific tool use by Sus cebifrons. Mammalian Biology, 98, 102-110	https://doi.org/10.1016/j.mambio.2019.08.003	Świnia z narzędziami
t14O6ITuivQ	Czytamy naturę #32 | Grafenowe origami - Redshift czarnej dziury - Ze szczurem w chowanego	2019-10-07T07:41:06Z	1)	00:57	https://www.youtube.com/watch?v=t14O6ITuivQ&t=57s	"jaką metodą składa się nanometrowych rozmiarów ""karteczki"" wykonane z grafenu,"	Chen, H., Zhang, X. L., Zhang, Y. Y., Wang, D., Bao, D. L., Que, Y., ... & Gao, H. J. (2019). Atomically precise, custom-design origami graphene nanostructures. Science, 365(6457), 1036-1040	https://doi.org/10.1126/science.aax7864	Grafenowe origami
t14O6ITuivQ	Czytamy naturę #32 | Grafenowe origami - Redshift czarnej dziury - Ze szczurem w chowanego	2019-10-07T07:41:06Z	2)	08:07	https://www.youtube.com/watch?v=t14O6ITuivQ&t=487s	co dzieje się ze światłem gwiazdy, gdy ta zbliży się do supermasywnej czarnej dziury,	Do, T., Hees, A., Ghez, A., Martinez, G. D., Chu, D. S., Jia, S., ... & Becklin, E. E. (2019). Relativistic redshift of the star S0-2 orbiting the Galactic center supermassive black hole. Science, 365(6454), 664-668	https://doi.org/10.1126/science.aav8137	Redshift czarnej dziury
t14O6ITuivQ	Czytamy naturę #32 | Grafenowe origami - Redshift czarnej dziury - Ze szczurem w chowanego	2019-10-07T07:41:06Z	3)	14:45	https://www.youtube.com/watch?v=t14O6ITuivQ&t=885s	jak szczury bawią się z ludźmi w chowanego i co z tego wynika.	Reinhold, A. S., Sanguinetti-Scheck, J. I., Hartmann, K., & Brecht, M. (2019). Behavioral and neural correlates of hide-and-seek in rats. Science, 365(6458), 1180-1183	https://doi.org/10.1126/science.aax4705	Ze szczurem w chowanego
